Crime,Precinct,Total
Burglary,61st Precinct,241
Burglary,62nd Precinct,276
Burglary,63rd Precinct,275
Burglary,66th Precinct,355
Burglary,67th Precinct,433
Burglary,68th Precinct,202
Burglary,69th Precinct,233
Burglary,6th Precinct,160
Burglary,70th Precinct,351
Burglary,71st Precinct,285
Burglary,72nd Precinct,208
Burglary,73rd Precinct,296
Burglary,75th Precinct,496
Burglary,76th Precinct,100
Burglary,77th Precinct,342
Burglary,78th Precinct,140
Burglary,79th Precinct,346
Burglary,7th Precinct,96
Burglary,81st Precinct,279
Burglary,83rd Precinct,536
Burglary,84th Precinct,125
Burglary,88th Precinct,165
Burglary,90th Precinct,423
Burglary,94th Precinct,209
Burglary,9th Precinct,200
Grand larceny,100th Precinct,117
Grand larceny,101st Precinct,103
Grand larceny,102nd Precinct,375
Grand larceny,103rd Precinct,431
Grand larceny,104th Precinct,477
Grand larceny,105th Precinct,442
Grand larceny,106th Precinct,364
Grand larceny,107th Precinct,402
Grand larceny,108th Precinct,480
Grand larceny,109th Precinct,717
Grand larceny,10th Precinct,650
Grand larceny,110th Precinct,544
Grand larceny,111st Precinct,365
Grand larceny,112nd Precinct,441
Grand larceny,113rd Precinct,716
Grand larceny,114th Precinct,606
Grand larceny,115th Precinct,583
Grand larceny,120th Precinct,389
Grand larceny,122nd Precinct,417
Grand larceny,123rd Precinct,161
Grand larceny,13th Precinct,1453
Grand larceny,14th Precinct,2224
Grand larceny,17th Precinct,717
Grand larceny,18th Precinct,1843
Grand larceny,19th Precinct,1227
Grand larceny,1st Precinct,1023
Grand larceny,20th Precinct,648
Grand larceny,22nd Precinct,49
Grand larceny,23rd Precinct,247
Grand larceny,24th Precinct,479
Grand larceny,25th Precinct,228
Grand larceny,26th Precinct,267
Grand larceny,28th Precinct,277
Grand larceny,30th Precinct,151
Grand larceny,32nd Precinct,284
Grand larceny,33rd Precinct,249
Grand larceny,34th Precinct,415
Grand larceny,40th Precinct,411
Grand larceny,41st Precinct,262
Grand larceny,42nd Precinct,226
Grand larceny,43rd Precinct,584
Grand larceny,44th Precinct,410
Grand larceny,45th Precinct,468
Grand larceny,46th Precinct,353
Grand larceny,47th Precinct,325
Grand larceny,48th Precinct,316
Grand larceny,49th Precinct,452
Grand larceny,50th Precinct,378
Grand larceny,52nd Precinct,598
Grand larceny,5th Precinct,607
Grand larceny,60th Precinct,478
Grand larceny,61st Precinct,422
Grand larceny,62nd Precinct,455
Grand larceny,63rd Precinct,529
Grand larceny,66th Precinct,405
Grand larceny,67th Precinct,516
Grand larceny,68th Precinct,330
Grand larceny,69th Precinct,274
Grand larceny,6th Precinct,1029
Grand larceny,70th Precinct,746
Grand larceny,71st Precinct,400
Grand larceny,72nd Precinct,366
Grand larceny,73rd Precinct,463
Grand larceny,75th Precinct,749
Grand larceny,76th Precinct,242
Grand larceny,77th Precinct,347
Grand larceny,78th Precinct,402
Grand larceny,79th Precinct,394
Grand larceny,7th Precinct,316
Grand larceny,81st Precinct,411
Grand larceny,83rd Precinct,325
Grand larceny,84th Precinct,566
Grand larceny,88th Precinct,465
Grand larceny,90th Precinct,538
Grand larceny,94th Precinct,307
Grand larceny,9th Precinct,775
Grand larceny auto,100th Precinct,25
Grand larceny auto,101st Precinct,61
Grand larceny auto,102nd Precinct,298
Grand larceny auto,103rd Precinct,170
Grand larceny auto,104th Precinct,318
Grand larceny auto,105th Precinct,361
Grand larceny auto,106th Precinct,327
Grand larceny auto,107th Precinct,225
Grand larceny auto,108th Precinct,185
Grand larceny auto,109th Precinct,278
Grand larceny auto,10th Precinct,41
Grand larceny auto,110th Precinct,115
Grand larceny auto,111st Precinct,119
Grand larceny auto,112nd Precinct,91
Grand larceny auto,113rd Precinct,234
Grand larceny auto,114th Precinct,206
Grand larceny auto,115th Precinct,230
Grand larceny auto,120th Precinct,186
Grand larceny auto,122nd Precinct,130
Grand larceny auto,123rd Precinct,38
Grand larceny auto,13th Precinct,56
Grand larceny auto,14th Precinct,23
Grand larceny auto,17th Precinct,28
Grand larceny auto,18th Precinct,41
Grand larceny auto,19th Precinct,82
Grand larceny auto,1st Precinct,39
Grand larceny auto,20th Precinct,24
Grand larceny auto,22nd Precinct,0
Grand larceny auto,23rd Precinct,26
Grand larceny auto,24th Precinct,41
Grand larceny auto,25th Precinct,58
