code,name,score,address,latitude,longitude,borough
K021,P.S. 021 Crispus Attucks,A,180 CHAUNCEY STREET,40.6805329,-73.926124,BROOKLYN
Q021,P.S. 021 Edward Hart,A,147-36 26 AVENUE,40.7741682,-73.8185428,OUEENS
Q022,P.S. 022 Thomas Jefferson,A,153-33 SANFORD AVENUE,40.761748,-73.811379,OUEENS
R023,P.S. 023 Richmondtown,A,30 NATICK STREET,40.570765,-74.133222,STATEN ISLAND
Q024,P.S. 024 Andrew Jackson,A,141-11 HOLLY AVENUE,40.7517618,-73.8177796,OUEENS
Q026,P.S. 026 Rufus King,A,195-02 69 AVENUE,40.736575,-73.778081,OUEENS
Q029,P.S. 029 Queens,A,125-10 23 AVENUE,40.7785882,-73.8432556,OUEENS
X030,P.S. 030 Wilton,A,510 EAST 141 STREET,40.8091983,-73.9176267,BRONX
K031,P.S. 031 Samuel F. Dupont,A,75 MESEROLE AVENUE,40.726835,-73.954117,BROOKLYN
Q034,P.S. 034 John Harvard,A,104-12 SPRINGFIELD BOULEVARD,40.6871997,-73.7491566,OUEENS
K034,P.S. 034 Oliver H. Perry,A,131 NORMAN AVENUE,40.7261149,-73.949718,BROOKLYN
Q041,P.S. 041 Crocheron,A,214-43 35 AVENUE,40.7700891,-73.771003,OUEENS
K041,P.S. 041 Francis White,A,411 THATFORD AVENUE,40.6604389,-73.906932,BROOKLYN
M041,P.S. 041 Greenwich Village,A,116 WEST  11 STREET,40.7356187,-73.9994094,MANHATTAN
X041,P.S. 041 Gun Hill Road,A,3352 OLINVILLE AVENUE,40.874754,-73.867851,BRONX
M042,P.S. 042 Benjamin Altman,A,71 HESTER STREET,40.7158845,-73.9909526,MANHATTAN
X043,P.S. 043 Jonas Bronck,A,165 BROWN PLACE,40.8064193,-73.9214243,BRONX
Q046,P.S. 046 Alley Pond,A,64-45 218 STREET,40.745726,-73.758047,OUEENS
X048,P.S. 048 Joseph R. Drake,A,1290 SPOFFORD AVENUE,40.8143895,-73.8868743,BRONX
K048,P.S. 048 Mapleton,A,6015 18 AVENUE,40.6216524,-73.9876077,BROOKLYN
Q049,P.S. 049 Dorothy Bonawit Kole,A,63-60 80th Street,40.6957804,-73.8905761,OUEENS
Q055,P.S. 055 Maure,A,131-10 97 AVENUE,40.6936,-73.816147,OUEENS
X056,P.S. 056 Norwood Heights,A,341 EAST 207 STREET,40.875481,-73.874889,BRONX
Q060,P.S. 060 Woodhaven,A,91-02 88 AVENUE,40.691436,-73.85279,OUEENS
Q062,P.S. 062 Chester Park,A,97-25 108 STREET,40.688633,-73.8358583,OUEENS
X062,P.S. 062 Inocensio Casanova,A,660 FOX STREET,40.8141023,-73.9003091,BRONX
Q064,P.S. 064 Joseph P. Addabbo,A,82-01 101 AVENUE,40.6811529,-73.8570119,OUEENS
Q066,P.S. 066 Jacqueline Kennedy Onassis,A,85-11 102 STREET,40.6976896,-73.8464783,OUEENS
Q069,P.S. 069 Jackson Heights,A,77-02 37 AVENUE,40.748779,-73.888449,OUEENS
X069,P.S. 069 The New Vision School,A,560 THERIOT AVENUE,40.816543,-73.8608739,BRONX
X073,P.S. 073 Bronx,A,1020 ANDERSON AVENUE,40.832616,-73.9265564,BRONX
X075,P.S. 075,A,984 FAILE STREET,40.82229,-73.88896,BRONX
Q079,P.S. 079 Francis Lewis,A,147-27 15 DRIVE,40.7860883,-73.8123023,OUEENS
X086,P.S. 086 Kingsbridge Heights,A,2756 RESERVOIR AVENUE,40.8692148,-73.8978966,BRONX
Q087,P.S. 087 Middle Village,A,67-54 80 STREET,40.711906,-73.871298,OUEENS
Q089,P.S. 089 Elmhurst,A,85-28 BRITTON AVENUE,40.745942,-73.879623,OUEENS
X093,P.S. 093 Albert G. Oliver,A,1535 STORY AVENUE,40.822513,-73.877255,BRONX
X097,P.S. 097 Bronx,A,1375 MACE AVENUE,40.8628474,-73.8467946,BRONX
K099,P.S. 099 Isaac Asimov,A,1120 EAST  10 STREET,40.621463,-73.966022,BROOKLYN
Q099,P.S. 099 Kew Gardens,A,82-37 KEW GARDENS ROAD,40.711486,-73.827742,OUEENS
Q102,P.S. 102 Bayview,A,55-24 VAN HORN STREET,40.7334317,-73.8777647,OUEENS
K105,P.S. 105 The Blythebourne,A,1031 59 STREET,40.6329321,-74.0037181,BROOKLYN
Q106,P.S. 106,A,180 BEACH  35 STREET,40.5946809,-73.7671077,OUEENS
Q107,P.S. 107 Thomas A Dooley,A,167-02 45 AVENUE,40.75536,-73.79947,OUEENS
M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,A,1615 MADISON AVENUE,40.7951169,-73.9480744,MANHATTAN
Q108,P.S. 108 Captain Vincent G. Fowler,A,108-10 109 AVENUE,40.6794554,-73.8312075,OUEENS
M112,P.S. 112 Jose Celso Barbosa,A,535 EAST 119 STREET,40.7964942,-73.9300386,MANHATTAN
K112,P.S. 112 Lefferts Park,A,7115 15 AVENUE,40.6195857,-74.0009875,BROOKLYN
K116,P.S. 116 Elizabeth L Farrell,A,515 KNICKERBOCKER AVENUE,40.6981152,-73.9166046,BROOKLYN
K120,P.S. 120 Carlos Tapia,A,18 BEAVER STREET,40.7005875,-73.9377575,BROOKLYN
K121,P.S. 121 Nelson A. Rockefeller,A,5301 20 AVENUE,40.6233087,-73.9787755,BROOKLYN
